transaction_id,transaction_date,customer_name,customer_email,product_name,category,quantity,unit_price,store_region
1,2023-04-13,João Souza,user42@email.com,Webcam HD,Audio,3,451.8,Nordeste
2,2023-06-29,Luiza Gomes,user6@email.com,Monitor 24,Peripherals,4,431.54,Sul
3,2023-04-03,Carlos Pereira,user15@email.com,Monitor 24,Display,4,141.7,Norte
4,2023-01-15,João Souza,user43@email.com,Teclado Mecânico,Display,1,533.25,Nordeste
5,2023-04-17,Pedro Alves,user37@email.com,Headset Pro,Storage,4,322.48,Sul
6,2023-03-13,Carlos Pereira,user33@email.com,Mouse Gamer,Peripherals,3,457.8,Sudeste
7,2023-01-21,Maria Lima,user8@email.com,Teclado Mecânico,Peripherals,2,365.23,Nordeste
8,2023-04-13,Maria Lima,user44@email.com,Teclado Mecânico,Audio,1,598.73,Nordeste
9,2023-05-02,Ana Silva,user44@email.com,Headset Pro,Storage,1,463.82,Sudeste
10,2023-03-16,Pedro Alves,user5@email.com,Mouse Gamer,Storage,2,438.84,Centro-Oeste
11,2023-03-29,Luiza Gomes,user39@email.com,Webcam HD,Storage,4,478.21,Norte
12,2023-04-27,Carlos Pereira,user4@email.com,SSD 1TB,Storage,2,128.72,Centro-Oeste
13,2023-04-10,João Souza,user6@email.com,SSD 1TB,Peripherals,4,162.5,Sul
14,2023-04-14,Pedro Alves,user45@email.com,Webcam HD,Peripherals,2,442.74,Sudeste
15,2023-06-01,Pedro Alves,user32@email.com,Teclado Mecânico,Display,3,321.69,Centro-Oeste
16,2023-05-11,Maria Lima,user30@email.com,Mouse Gamer,Display,4,465.05,Nordeste
17,2023-05-30,Ana Silva,user47@email.com,Teclado Mecânico,Storage,3,106.6,Sul
18,2023-02-22,Ana Silva,user35@email.com,Monitor 24,Storage,1,345.06,Sul
19,2023-01-02,Carlos Pereira,user40@email.com,Teclado Mecânico,Storage,2,258.35,Centro-Oeste
20,2023-03-29,Maria Lima,user16@email.com,Teclado Mecânico,Display,1,301.35,Centro-Oeste
21,2023-06-07,Pedro Alves,user13@email.com,Webcam HD,Audio,1,382.18,Sudeste
22,2023-02-07,Luiza Gomes,user42@email.com,Webcam HD,Audio,1,326.26,Norte
23,2023-05-10,Maria Lima,user30@email.com,Webcam HD,Display,1,346.92,Centro-Oeste
24,2023-01-21,Carlos Pereira,user19@email.com,SSD 1TB,Display,2,317.5,Centro-Oeste
25,2023-06-10,Carlos Pereira,user17@email.com,Monitor 24,Display,1,274.93,Nordeste
26,2023-02-27,Maria Lima,user19@email.com,Webcam HD,Display,2,474.54,Sul
27,2023-01-22,Carlos Pereira,user28@email.com,Mouse Gamer,Display,2,56.71,Norte
28,2023-03-30,Maria Lima,user26@email.com,SSD 1TB,Display,3,379.14,Nordeste
29,2023-02-18,João Souza,user37@email.com,Headset Pro,Storage,4,361.03,Sudeste
30,2023-02-28,Maria Lima,user26@email.com,Mouse Gamer,Storage,4,443.9,Sudeste
31,2023-06-19,Maria Lima,user23@email.com,Mouse Gamer,Storage,2,379.47,Centro-Oeste
32,2023-01-15,Carlos Pereira,user9@email.com,Webcam HD,Storage,3,504.74,Centro-Oeste
33,2023-06-24,Carlos Pereira,user12@email.com,Headset Pro,Display,2,577.49,Sudeste
34,2023-02-20,Ana Silva,user1@email.com,Headset Pro,Audio,2,238.39,Centro-Oeste
35,2023-04-18,Ana Silva,user1@email.com,SSD 1TB,Peripherals,2,175.04,Norte
36,2023-02-24,João Souza,user47@email.com,Headset Pro,Display,3,282.98,Centro-Oeste
37,2023-03-05,Ana Silva,user34@email.com,Monitor 24,Peripherals,4,208.36,Sul
38,2023-05-11,Maria Lima,user32@email.com,Webcam HD,Audio,3,388.22,Centro-Oeste
39,2023-02-20,Carlos Pereira,user48@email.com,Headset Pro,Storage,1,551.52,Nordeste
40,2023-05-15,Ana Silva,user25@email.com,SSD 1TB,Audio,3,126.51,Norte
41,2023-01-21,Ana Silva,user40@email.com,Monitor 24,Display,3,105.44,Nordeste
42,2023-03-14,João Souza,user45@email.com,Teclado Mecânico,Storage,3,190.81,Nordeste
43,2023-06-16,Pedro Alves,user1@email.com,Teclado Mecânico,Display,3,449.35,Sul
44,2023-01-18,João Souza,user16@email.com,Monitor 24,Storage,4,376.13,Norte
45,2023-05-12,Maria Lima,user39@email.com,SSD 1TB,Peripherals,1,106.22,Norte
46,2023-03-30,Carlos Pereira,user5@email.com,Monitor 24,Peripherals,4,555.31,Norte
47,2023-03-01,João Souza,user22@email.com,Webcam HD,Peripherals,4,484.55,Norte
48,2023-01-14,Ana Silva,user29@email.com,Webcam HD,Audio,3,62.66,Norte
49,2023-01-09,Carlos Pereira,user3@email.com,Teclado Mecânico,Display,2,408.25,Sul
50,2023-03-31,Carlos Pereira,user12@email.com,Headset Pro,Audio,2,474.19,Centro-Oeste
51,2023-02-22,Ana Silva,user26@email.com,SSD 1TB,Peripherals,4,255.94,Nordeste
52,2023-05-10,João Souza,user16@email.com,Teclado Mecânico,Display,4,87.91,Norte
53,2023-03-25,Ana Silva,user37@email.com,Headset Pro,Peripherals,3,92.53,Centro-Oeste
54,2023-04-02,Pedro Alves,user22@email.com,Headset Pro,Audio,4,107.34,Centro-Oeste
55,2023-04-21,Carlos Pereira,user29@email.com,Webcam HD,Audio,3,512.24,Nordeste
56,2023-06-21,Luiza Gomes,user14@email.com,Mouse Gamer,Audio,2,550.88,Sul
57,2023-01-08,Luiza Gomes,user28@email.com,Mouse Gamer,Peripherals,2,117.55,Sudeste
58,2023-06-24,Maria Lima,user5@email.com,Monitor 24,Display,1,179.75,Sudeste
59,2023-02-04,Ana Silva,user47@email.com,Webcam HD,Display,2,141.04,Centro-Oeste
60,2023-03-22,Ana Silva,user49@email.com,Headset Pro,Peripherals,4,152.48,Nordeste
